com_nam,lin_ima,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb,org_tp,
"1787 NATIONAL COMMITTEE INC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00540963&tabIndex=1","N","U","T","244 MADISON AVENUE SUITE 1787","NEW YORK","NY","100162817","EMILY MATHEWS","C00540963","2016","$362.00",,"$362.00",,,,,,"$362.00",,,,,"$200.00",,,,,,,,"$362.00",,,,,"$162.00",,,,,,,,,,,,,,,,,,,,"$362.00","$362.00","$362.00",,,,,"2015-01-01","2015-08-18",,"",,,,,,,,,,,"$162.00",,,,,,,,,,,"",
"18-24","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00523001&tabIndex=1","O","U","Q","PO BOX 404","ST MARY'S CITY","MD","20686","SUSAN EDRA GROGAN","C00523001","2016","$1,000.00",,,,,,,,"$1,000.00",,,,,,,,,,,,,"$1,000.00","$1,000.00",,,,"$55.00",,,,,,,,,,,,,,,,,,,"$55.79","$55.79","$1,000.00","$55.79","$677.00","$1,621.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$55.00",,,,,,,,,,,"",
"18-29 PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00555524&tabIndex=1","O","U","Q","PO BOX 428","DUBLIN","OH","430170428","MELISSA MCNULTY","C00555524","2016","$5,000.00",,"$5,000.00",,,,,,"$5,000.00",,,,,,,,,,,,,"$5,000.00","$5,000.00",,,"$1,791.48","$1,791.48",,,,,,,,,,,,,,,,,,,,"$1,791.48","$5,000.00",,"$809.17","$4,017.69",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"18TH DISTRICT REPUBLICAN CENTRAL COMMIITTEE (FEDERAL ACCOUNT)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00493460&tabIndex=1","Y","U","Q","PO BOX 10362","PEORIA","IL","61612","PAUL KILGORE","C00493460","2016",,,,,,,,,,,,,,,,,"$1,588.80",,,,,"$1,588.80","$1,588.80",,,,"$1,000.00",,,,,,,,,,,,,,,,,,"$2,539.66","$3,539.66","$3,539.66",,"$1,000.00","$1,950.86",,,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$1,000.00",,,,,,,,,,,"",
"1911 UNITED","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00508200&tabIndex=1","O","U","Q","700 12TH STREET NW SUITE 700","WASHINGTON","DC","20005","SKINNER, SINCLAIR","C00508200","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,"$131.94",,,,,,,,,,,,,,,,,,,"$131.94","$131.94",,"$131.94","$1,342.12","$1,210.18","$141,913.27",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$131.94",,,,,,,,,,,"",
"1ST SOURCE CORPORATION POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00181529&tabIndex=1","Q","U","Q","P O BOX 1602","SOUTH BEND","IN","46634","SHORT, ANDREA G.","C00181529","2016","$107.73","$1,483.34","$1,591.07",,,,,,"$1,591.07",,,,,,,,,,,,"$2.33","$1,593.40","$1,593.40",,,,,,,,,,,,,,,,,,,,,,,,,"$1,591.07",,"$41,360.11","$42,953.51",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"2012 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00500405&tabIndex=1","X","U","T","2012 DEMOCRATIC CONVENTION 430 SOUTH CAPITOL STREET, SE","WASHINGTON","DC","20003","TOBIAS, ANDREW","C00500405","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,846.76",,,"$27,846.76",,,,"2015-01-01","2015-07-27",,"","$27,846.76",,,"$27,846.76",,"$27,702.00",,,,,,"$27,846.76",,,,,"$144.76",,,,,"",
"2012 NEW YORK VICTORY FUND","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00532879&tabIndex=1","N","J","Q","1050 17TH ST NW STE 590","WASHINGTON","DC","20036","JANICA KYRIACOPOULOS","C00532879","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,000.00","$5,000.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"2015 SENATORS CLASSIC COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00576280&tabIndex=1","S","J","Q","228 S WASHINGTON STREET SUITE 115","ALEXANDRIA","VA","22314","KEITH A DAVIS","C00576280","2016","$55,400.00",,"$55,400.00",,,"$827,500.00",,,"$882,900.00",,,,,,,,,,,,,"$882,900.00",,"$14,671.00",,,,,,,,,,,,,,,"$660,400.00",,,,,,,,"$675,071.00","$882,900.00","$14,671.00",,"$207,828.00",,,"2015-04-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"2015 SXSW GOP COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00572131&tabIndex=1","H","J","T","824 S MILLEDGE AVE STE 101","ATHENS","GA","30606","KILGORE, PAUL","C00572131","2016","$6,300.00",,"$6,300.00",,,"$36,000.00","$1,000.00",,"$42,300.00","$1,000.00",,,,,,,,,,,,"$42,300.00",,"$7,824.77",,,,,,,,,,,,,,,"$33,475.23",,,,,,,,"$42,300.00","$41,300.00","$7,824.77",,,,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"2016 COMMITTEE; THE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00569905&tabIndex=1","O","U","Q","370 MAPLE AVENUE W SUITE 4","VIENNA","VA","221805615","ROBERT H FRANK","C00569905","2016","$934,136.96","$1,550,738.15","$2,484,875.11","$4,831.32",,,,,"$2,484,875.11","$4,831.32",,,,,,,"$1,342,500.00",,,,"$70.10","$3,827,445.21","$3,827,445.21",,,,"$1,970,446.68",,,,,,,,"$50,300.00",,,,,,,,,,,"$2,025,578.00","$2,025,578.00","$2,480,043.79","$1,970,446.68",,"$1,801,867.21","$399,494.81",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$1,970,446.68",,,,,,,,,,,"",
"21ST CENTURY DEMOCRATS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00230342&tabIndex=1","Q","U","Q","2120 L STREET NW SUITE 305","WASHINGTON","DC","20037","COMBS, BILL","C00230342","2016","$93,469.36","$510,181.15","$603,650.51",,,,,,"$603,650.51",,,,,,,,,,,,"$3,224.58","$607,196.75","$607,196.75",,,,"$453,927.84","$321.66",,,,,,,,,,,,,,,,,"$7,975.38","$461,903.22","$461,903.22","$603,650.51","$453,606.18","$196,003.13","$341,296.66","$216,873.76",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$453,927.84",,,,,,,,,,,"M",
"21ST CENTURY LEADERSHIP PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00355792&tabIndex=1","N","U","Q","P.O BOX 1774","HOBOKEN","NJ","07030","J D DE LEON","C00355792","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$148.00","$148.00","$148.00",,,"$676.02","$528.02",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"21ST CENTURY MAJORITY FUND","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00361956&tabIndex=1","Q","D","M","6065 ROSWELL ROAD, #2274","ATLANTA","GA","30328","FRANKLIN, JULIE MS.","C00361956","2016","$18,271.25",,"$18,271.25",,,"$154,500.00",,,"$172,771.25",,,,,,,,"$29,561.39",,,,,"$207,332.64","$207,332.64",,,,"$115,718.74",,,,,,"$110,000.00","$5,000.00",,,,,,,,,,,"$29.00","$225,747.74","$225,747.74","$172,771.25","$115,718.74","$202,704.18","$184,289.08",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$115,718.74",,,,,,,,,,,"",
"21ST CENTURY ONCOLOGY, INC. POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00385120&tabIndex=1","Q","B","Q","2234 COLONIAL BLVD. ATTN: MARGARITA SUAREZ","FORT MYERS","FL","33907","DOSORETZ, DANIEL E. MD","C00385120","2016","$27,451.00","$455.00","$27,906.00",,,,,,"$27,906.00",,,,,,,,,,,,,"$27,906.00","$27,906.00",,,,,,,,,,"$34,000.00",,,,,,,,,,,,"$15.00","$34,015.00","$34,015.00","$27,906.00",,"$12,174.57","$6,065.57",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"3 POINT LEADERSHIP FUND","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00571083&tabIndex=1","N","D","Q","500 CUMMINGS CENTER SUITE 4400 C/O RED CURVE SOLUTIONS","BEVERLY","MA","01915","MARK BREBBERMAN","C00571083","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,001.65",,,,,,,,,,,,,,,,,,,"$3,001.65","$3,001.65",,"$3,001.65","$5,000.00","$1,998.35",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$3,001.65",,,,,,,,,,,"",
"314 PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00567800&tabIndex=1","O","U","Q","410 1ST ST SE SUITE 310","WASHINGTON","DC","20003","JENNIFER MAY","C00567800","2016","$11,750.00","$4,358.50","$16,108.50",,,,,,"$16,108.50",,,,,,,,,,,,,"$16,108.50","$16,108.50",,,,"$10,595.19",,,,,,,,,,,,,,,,,,,"$10,595.19","$10,595.19","$16,108.50","$10,595.19","$16,583.38","$22,096.69",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$10,595.19",,,,,,,,,,,"",
"36TH DISTRICT REPUBLICAN CENTRAL COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00529594&tabIndex=1","X","U","Q","2525 E NUGENT STREET","LANCASTER","CA","93535","HICKLING, NORM","C00529594","2016",,,,,,,,,,,,,,,,,,,,,,"$16.04","$16.04",,,,"$155.00","$16.04",,,,,,,,,,,,,,,,,,"$155.00","$155.00",,"$138.96","$3,466.42","$3,327.46",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$155.00",,,,,,,,,,,"",
"38TH ASSEMBLY DISTRICT (R) CENTRAL COMMITTEE (FEDERAL)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00469254&tabIndex=1","X","U","Q","24442  CROSS STREET","NEWHALL","CA","913213513","ATKINS, B.J.","C00469254","2016","$5,000.00","$100.00","$5,100.00",,,,,,"$5,100.00",,,,,,,,,,,,"$661.29","$5,761.29","$5,761.29",,,,"$591.24",,,,,,,,,,,,"$500.00",,,,,,,"$1,091.24","$1,091.24","$5,100.00","$591.24","$9.20","$4,679.25","$1,535.49",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$591.24",,,,,,,,,,,"",
"3M COMPANY PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00084475&tabIndex=1","Q","B","M","3M CENTER BUILDING 224-6S-03","ST. PAUL","MN","55144","SARTORI, DAN P.","C00084475","2016","$99,208.39","$50,806.68","$150,015.07",,,,,,"$150,015.07",,,,,,,,,,,,,"$150,015.07","$150,015.07",,,,"$205.41",,,,,,"$103,100.00",,,,,,,,,,,,"$7,500.00","$110,805.41","$110,805.41","$150,015.07","$205.41","$62,680.26","$101,889.92",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$205.41",,,,,,,,,,,"C",
"3RD AND LONG PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00448563&tabIndex=1","Q","D","M","PO BOX 8446","ASHEVILLE","NC","28814","BURNS, TROY","C00448563","2016",,,,,,,,,,,,,,,,,,,,,,"$800.00","$800.00",,,,"$5,834.45","$800.00",,,,,,,,,,,,,,,,,,"$5,834.45","$5,834.45",,"$5,034.45","$5,832.19","$797.74",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$5,834.45",,,,,,,,,,,"",
"3RD CONGRESSIONAL DISTRICT DEMOCRATIC PARTY OF WISCONSIN","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00009456&tabIndex=1","Y","U","Q","1414 EMERY STREET","EAUCLAIRE","WI","54701","UGLAND, GERALD DAVID MR.","C00009456","2016",,,,,"$165.27",,,,"$165.27",,,,,,,,,,,,,"$165.27","$165.27",,,,,,,,,,,,,,,,,,,,,,,,,"$165.27",,"$1,734.93","$1,900.20",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"3T PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00416552&tabIndex=1","N","D","Q","PO BOX 118","BECKLEY","WV","25802","RAHALL, EDWARD","C00416552","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,"$882.76",,,,,,,,,,,,,,,,,,,"$882.76","$882.76",,"$882.76","$74,679.86","$73,797.10",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$882.76",,,,,,,,,,,"",
"4 MA PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00543504&tabIndex=1","Q","D","Q","PO BOX 590464","NEWTON","MA","02459","MARTIN, DAVID N","C00543504","2016","$51,400.00",,"$51,400.00",,,"$12,500.00",,,"$63,900.00",,,,,,,,,,,,,"$63,900.00","$63,900.00",,,,"$14,567.08",,,,,,"$44,000.00",,,,,,,,,,,,"$1,000.00","$59,567.08","$59,567.08","$63,900.00","$14,567.08","$39,316.75","$43,649.67",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$14,567.08",,,,,,,,,,,"",
"420 USA PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00574152&tabIndex=1","O","U","Q","2201 L ST NW APT 608","WASHINGTON","DC","20037","WILLIAMS, BENJAMIN MR","C00574152","2016","$1,500.00",,"$1,500.00",,,,,,"$1,500.00",,,,,,,,,,,,,"$1,500.00","$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,"$1,500.00",,,"$1,500.00",,,"2015-03-16","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"441PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00576819&tabIndex=1","O","U","Q","17 ARROWWOOD DRIVE","PERKASIE","PA","18944","GLANCEY, JOHN M.","C00576819","2016",,"$10.00","$10.00",,,,,,"$10.00",,,,,,,,,,,,,"$10.00","$10.00",,,,,,,,,,,,,,,,,,,,,,,,,"$10.00",,,"$10.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"4TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00099465&tabIndex=1","Y","U","Q","1010 RIVER STREET","LANSING","MI","489121095","SCOTT DEDIC","C00099465","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$192.00","$192.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"4TH WARD DEMOCRATIC ORGANIZATION","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00397810&tabIndex=1","X","U","Q","4659 S COTTAGE GROVE AVE STE 205","CHICAGO","IL","60653","GREGORY R ZYVERT","C00397810","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,242.71","$1,242.71",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"500 CLUB","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00191387&tabIndex=1","Q","U","Q","603 STEAMBOAT ROAD UNIT 7","GREENWICH","CT","06830","BARLOW, EDWARD","C00191387","2016","$1,500.00",,"$1,500.00",,,,,,"$1,500.00",,,,,,,,,,,,,"$1,500.00","$1,500.00",,,,"$3,150.00",,,,,,,,,,,,,,,,,,,"$3,150.00","$3,150.00","$1,500.00","$3,150.00","$2,733.31","$1,083.31",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$3,150.00",,,,,,,,,,,"M",
"54TH ASSEMBLY DISTRICT DEMOCRATIC CLUB","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00439299&tabIndex=1","N","U","Q","P.O. BOX 4656","CULVER CITY","CA","90231","AUSTIN, GWENDOLYN","C00439299","2016","$266.00","$3,950.78","$4,216.78",,,,,,"$4,216.78",,,,,,,,"$1,000.00",,,,,"$5,216.78","$5,216.78",,,,"$4,730.34",,,,,,,,,,,,,,,,,,"$610.95","$5,341.29","$5,341.29","$4,216.78","$4,730.34","$1,948.95","$1,824.44",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$4,730.34",,,,,,,,,,,"",
"613 PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00422527&tabIndex=1","N","U","Q","6514 N. MONTICELLO","LINCOLNWOOD","IL","60712","JACK FEILER","C00422527","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$157.40","$157.40","$12,400.00",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
